Location (Kuala Lumpur),Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Property Details,Size Type,Size Number (sq. ft.),Price Range
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1024.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,714.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,845.0,Low
kuchai lama,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1070.0,Low
cheras,3,2.0,2.0,Condominium,Unfurnished,Intermediate,Built-up,755.0,Low
cheras,2,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,650.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1024.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,930.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,915.0,Low
setapak,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,845.0,Low
taman desa,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,750.0,Low
bukit jalil,2,1.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,775.0,Low
cheras,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Land area,755.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1024.0,Low
cheras,2,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,950.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,869.0,Low
jalan kuching,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1024.0,Low
jalan kuching,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1024.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,950.0,Low
kuchai lama,3,2.0,1.0,Condominium,Unknown,Intermediate,Land area,900.0,Low
jalan kuching,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,1024.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Corner,Built-up,931.0,Low
jalan klang lama (old klang road),2,1.0,1.0,Condominium,Partly Furnished,EndLot,Built-up,752.0,Low
setapak,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Built-up,924.0,Low
sri petaling,3,2.0,2.0,Condominium,Fully Furnished,Intermediate,Built-up,850.0,Low
desa petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,956.0,Low
cheras,3,2.0,1.0,Condominium,Unfurnished,Intermediate,Land area,755.0,Low
desa petaling,3,2.0,1.0,Condominium,Partly Furnished,Intermediate,Built-up,1009.0,Low
sentul,3,2.0,1.0,Condominium,Partly Furnished,Corner,Built-up,1079.0,Low
